[2025-11-13 16:58:48] {'num_layer_x': 3, 'num_layer_y': 3, 'top_K': 3, 'weight_decay': 0, 'constraint_xy': 3, 'constraint_yx': 1, 'learning_rate': 0.0003, 'test_batch_size': 1000, 'validation_batch_size': 4000, 'test_step': 200, 'save_step': 200, 'display_step': 50, 'train_batch_size': 20, 'max_steps': 700000, 'constraint_x': 0.2, 'constraint_y': 0.2, 'keep_prob': 0.9, 'summaries_dir': 'expr/Structure_test(K2_Linear)_lr_0.0003   dr_0.9   nx_3   ny_3   xy_3   yx_1   x_0.2   y_0.2   K_3   ba_20'}
[2025-11-13 16:58:49] [iter 50] (0.011921101 0.0055778394, 0.0 0.0)(9.2156375e-07 5.7094e-07, 0.0) (8.661793e-07 2.545974e-07, 0.0) loss=0.04134, [0.9, 1.0, 1.0, 1.0, 1.0, 1.0], [0.95, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:50] [iter 100] (0.002606019 0.002606019, 0.0 0.0)(7.420649e-08 7.420649e-08, 0.0) (1.6306668e-09 1.6306668e-09, 0.0) loss=0.01042, [0.95, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:51] [iter 150] (0.0002773861 0.0, 0.0 0.0)(3.787489e-08 0.0, 0.0) (5.4253498e-08 0.0, 0.0) loss=0.0008322, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:52] [iter 200] (0.0 0.0, 0.0 0.017826835)(0.0 0.0, 0.0) (0.0 0.0, 4.428022e-05) loss=0.003565, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:52] [iter 250] (0.0 0.0, 0.06565803 0.012335926)(0.0 0.0, 4.2813106e-05) (0.0 0.0, 4.6995934e-05) loss=0.0156, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:53] [iter 300] (0.0 0.0, 0.0 0.027398763)(0.0 0.0, 0.0) (0.0 0.0, 3.869639e-05) loss=0.00548, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:54] [iter 350] (0.0 0.0, 0.10028962 0.0)(0.0 0.0, 5.3820004e-05) (0.0 0.0, 0.0) loss=0.02006, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:55] [iter 400] (0.0 0.0, 0.11550053 0.0)(0.0 0.0, 0.00012707619) (0.0 0.0, 0.0) loss=0.0231, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:56] [iter 450] (0.0 0.0, 0.0 0.0)(0.0 0.0, 0.0) (0.0 0.0, 0.0) loss=0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:56] [iter 500] (0.0 0.0, 0.022536835 0.0)(0.0 0.0, 4.7164456e-05) (0.0 0.0, 0.0) loss=0.004507, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
[2025-11-13 16:58:57] [iter 550] (0.0 0.0, 0.0 0.0)(0.0 0.0, 0.0) (0.0 0.0, 0.0) loss=0, [1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0] 
